MealType,Name,Ingredients,Protein,Carbs,Fat
Early Morning,Soaked almonds; cashews; walnuts + warm water with raisins,almonds;cashews;walnuts;raisins;warm water,6,12,15
Early Morning,Soaked almonds; cashews; walnuts + jeera infused warm water,almonds;cashews;walnuts;jeera;warm water,6,8,14
Early Morning,Soaked almonds; cashews; walnuts + tulsi ginger tea,almonds;cashews;walnuts;tulsi;ginger tea,6,6,13
Early Morning,Soaked almonds; cashews; walnuts + buttermilk (greek yogurt),almonds;cashews;walnuts;greek yogurt;water,7,10,14
Breakfast,Bread omelette (2 eggs; 2 whole wheat slices),eggs;whole wheat bread;olive oil;onions;green chili,17,22,12
Breakfast,Vegetable rawa upma (semolina) with ghee + 1 egg,semolina;vegetables;ghee;egg,15,35,14
Breakfast,Vegetable vermicelli upma with ghee + 1 egg,vermicelli;vegetables;ghee;egg,16,40,13
Breakfast,Idli (3) + coconut chutney + 1 egg,idli;coconut chutney;egg,17,38,11
Breakfast,Dosa (2) + peanut chutney + 1 egg,dosa;peanut chutney;egg,18,40,14
Breakfast,Pesarettu (2) + chutney + 1 egg,green gram;chutney;egg,19,28,11
Breakfast,Khichdi + ghee,rice;moong dal;vegetables;ghee,12,42,9
Breakfast,Curd rice (with buffalo curd),white rice;buffalo curd;seasoning;ginger;green chili,9,45,10
Breakfast,Pongal + ghee,rice;moong dal;black pepper;ghee;cashews,11,38,12
Breakfast,Wheat roti with egg curry,wheat flour;egg;onion;tomato;spices,20,35,11
Breakfast,Phulka (3) + paneer curry,wheat flour;paneer;tomato;onion;spices,22,32,14
Breakfast,Vegetable poha with peanuts + 1 boiled egg,flattened rice;vegetables;peanuts;egg,15,36,12
Breakfast,Oats porridge with milk and nuts,oats;milk;almonds;walnuts;honey,12,42,9
Breakfast,Masala oats + 1 boiled egg,oats;vegetables;egg;spices,16,38,9
Breakfast,Besan chilla (2) + green chutney,gram flour;onion;tomato;chili;chutney,14,24,6
Breakfast,Stuffed paneer paratha + curd,wheat flour;paneer;spices;curd,20,35,10
Breakfast,Sabudana khichdi + curd,sago pearls;peanuts;potato;curd,9,46,12
Breakfast,Vegetable sandwich + boiled egg,bread;vegetables;butter;egg,14,34,10
Breakfast,Egg bhurji + 1 phulka,egg;onion;tomato;wheat flour,20,18,10
Breakfast,Ragi dosa + chutney + egg,ragi;chutney;egg,17,28,9
Breakfast,Vegetable paratha + curd,wheat flour;vegetables;spices;curd,14,36,9
Mid-Morning,Protein shake (25g whey; nuts; banana; seeds),whey isolate;banana;walnuts;dates;chia;flaxseed,30,24,9
Mid-Morning,Greek yogurt cup + fruit,greek yogurt;apple;berries,9,18,4
Mid-Morning,Coconut water + boiled egg,coconut water;egg,8,6,6
